file,bucket,blocking,via,first_error
src/system/phomemo_printer.cpp,B,spdlog/fmt/json via shim,,
src/system/phomemo_protocol.cpp,A,,,
src/system/platform_capabilities.cpp,B,spdlog/fmt/json via shim,,
src/system/platform_info.cpp,C,sys/utsname.h,,/home/pbrown/Code/Printing/helixscreen/src/system/platform_info.cpp:8:10: fatal error: sys/utsname.h: No such file or directory
src/system/post_op_cooldown_manager.cpp,B,spdlog/fmt/json via shim,,
src/system/prerendered_images.cpp,B,spdlog/fmt/json via shim,,
src/system/printer_image_manager.cpp,B,spdlog/fmt/json via shim,,
src/system/printer_name_sync.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/system/pwg_raster.cpp,B,spdlog/fmt/json via shim,,
src/system/pwm_sound_backend.cpp,B,spdlog/fmt/json via shim,,
src/system/qr_decoder.cpp,B,spdlog/fmt/json via shim,,
src/system/runtime_config.cpp,B,spdlog/fmt/json via shim,,
src/system/safety_settings_manager.cpp,B,spdlog/fmt/json via shim,,
src/system/screenshot.cpp,B,spdlog/fmt/json via shim,,
src/system/sdl_sound_backend.cpp,B,spdlog/fmt/json via shim,,
src/system/settings_manager.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/system/sha256_util.cpp,A,,,
src/system/sheet_label_layout.cpp,B,spdlog/fmt/json via shim,,
src/system/snapshot_qr_scanner.cpp,D,hv/requests.h,,/home/pbrown/Code/Printing/helixscreen/src/system/snapshot_qr_scanner.cpp:5:10: fatal error: hv/requests.h: No such file or directory
src/system/sound_manager.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/system/sound_sequencer.cpp,B,spdlog/fmt/json via shim,,
src/system/sound_synthesis.cpp,B,spdlog/fmt/json via shim,,
src/system/sound_theme.cpp,B,spdlog/fmt/json via shim,,
src/system/streaming_policy.cpp,B,spdlog/fmt/json via shim,,
src/system/subject_debug_registry.cpp,B,spdlog/fmt/json via shim,,
src/system/system_power.cpp,B,spdlog/fmt/json via shim,,
src/system/system_settings_manager.cpp,B,spdlog/fmt/json via shim,,
src/system/telemetry_manager.cpp,D,hv/requests.h,,/home/pbrown/Code/Printing/helixscreen/src/system/telemetry_manager.cpp:20:10: fatal error: hv/requests.h: No such file or directory
src/system/timezone_env.cpp,B,spdlog/fmt/json via shim,,
src/system/tips_manager.cpp,B,spdlog/fmt/json via shim,,
src/system/tracker_module_med.cpp,B,spdlog/fmt/json via shim,,
src/system/tracker_module_mod.cpp,B,spdlog/fmt/json via shim,,
src/system/tracker_player.cpp,B,spdlog/fmt/json via shim,,
src/system/translation_loader.cpp,B,spdlog/fmt/json via shim,,
src/system/update_checker.cpp,D,hv/requests.h,,/home/pbrown/Code/Printing/helixscreen/src/system/update_checker.cpp:28:10: fatal error: hv/requests.h: No such file or directory
src/system/upgrade_nudge.cpp,B,spdlog/fmt/json via shim,,
src/system/usb_printer_detector.cpp,B,spdlog/fmt/json via shim,,
src/system/usb_scanner_monitor.cpp,B,spdlog/fmt/json via shim,,
src/system/wizard_step.cpp,A,,,
src/system/wizard_step_logic.cpp,A,,,
src/ui/action_prompt_manager.cpp,B,spdlog/fmt/json via shim,,
src/ui/action_prompt_modal.cpp,B,spdlog/fmt/json via shim,,
src/ui/ams_drawing_utils.cpp,B,spdlog/fmt/json via shim,,
